,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
653,SSS0729,19,No,"yes, in ear",5-15,English,,,,SONA for course credit,,No,Female,,7,9+,"Yes, I do alright",violin and piano,Strongly Agree,Disagree,,2021-03-23 15:29:21,40635
654,SSS0737,20,No,airpods pro ,5-12,English,,,,SONA for course credit,,No,Female,,5,6-8,"Yes, but not so well",piano,Strongly Agree,Strongly Agree,just recognition,2021-03-23 18:47:45,40556
655,SSS0738,18,Yes,Headphones. ,,English,"Yes, I based my judgment on if I heard something even remotely different even if it was the slightest change or just what my brain thought was a change.",,,SONA for course credit,,Yes,Female,"I still couldn't really tell  diff between many of them so I tried different strategies, one was by nodding with the melody and then trying to see if i nodded differently when I listened to #1 /#2 ",0,0,No,,Agree,Strongly Agree,The end and the beginning is what I heavily relied my judgment on. ,2021-03-26 21:19:55,40903
656,SSS0743,20,No,Apple Wired Headphones (in-ear) ,,English,I noticed when notes from the test melody sounded higher or lower in either option 1 or 2,,,SONA for course credit,,Yes,Female,,7,0,"Yes, but not so well","Piano, Guitar",Strongly Agree,Neither Agree nor Disagree,Closing my eyes while listening,2021-03-24 00:29:33,40582
657,SSS0744,21,No,in-ear,5-12,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,7,6-8,"Yes, I do alright",piano&guitar,Strongly Agree,Strongly Agree,,2021-03-24 01:50:25,40629
658,SSS0746,23,No,Headphones in-ear,,Other (please specify below):,,,,SONA for course credit,Chinese,No,Male,,5,0,"Yes, but not so well",Piano and Saxophone,Strongly Agree,Strongly Agree,,2021-03-24 02:30:51,40807
659,SSS0752,19,No,laptop speaker,,English,,,,SONA for course credit,,No,Female,,6,1,"Yes, I do alright",flute,Agree,Neither Agree nor Disagree,"listen to overarching melodic phrase, not so much on the beginning and ending",2021-03-24 07:08:16,40707
660,SSS0753,22,No,over-the-ear headphones,,Other (please specify below):,,,,SONA for course credit,Chinese,No,Male,,2,0,No,,Strongly Agree,Neither Agree nor Disagree,to compare the end,2021-03-24 11:05:49,41011
661,SSS0754,25,Yes,Over the ear headphones with sound cancelling technology,20-22,English,"There were times when a melody had a major consonant feel and so it was obvious when one of the options was different, because there was a note that didn't align. On the more discordant lines, I tried to chunk like-sounding phrases when possible.",,,Other,,Yes,Male,"My strategy evolved as the task went on, starting with just trying to memorize and then moving to intervals and melodic stability. ",7,2-3,"Yes, I do alright","Guitar, voice, and a little piano",Strongly Agree,Neither Agree nor Disagree,Consonance/dissonance and intervals mostly,2020-11-18 22:57:35,filler1
662,SSS0755,25,No,Headphones Over the ear,11-16,English,,,,SONA for course credit,,No,Other,,5,4-5,"Yes, but not so well","Cello, Piano, Viola, Violin",Agree,Agree,,2021-03-24 10:46:43,40397
663,SSS0756,20,No,"in ear, normal Apple Airpods",12-18,Other (please specify below):,some of the choices had different patterns / features than the original,,,SONA for course credit,Mandarin,Yes,Male,,8,4-5,"Yes, I do alright","Alto, soprano sax",Strongly Agree,Agree,"Pattern, correctness of notes",2021-04-12 01:14:28,40857
664,SSS0757,21,No,In-ear,4-11,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,4,6-8,No,,Strongly Agree,Strongly Agree,First and last notes; notes that sounded extreme (higher or lower); overall feel ,2021-03-24 11:44:07,40122
665,SSS0758,19,Yes,headphone,10,Other (please specify below):,,,,SONA for course credit,chinese,Yes,Female,,5,9+,"Yes, I do alright",piano,Agree,Neither Agree nor Disagree,no,2021-04-14 14:48:02,40505
666,SSS0759,19,Yes,"Yes, with earphones",4-17,English,I thought some notes were out of order or out of sync,,,SONA for course credit,,Yes,Female,I started counting beats because it was hard to tell the difference by just listening,5,9+,"Yes, I do alright",piano,Agree,Strongly Agree,beats and sounds,2021-04-12 00:55:17,40666
667,SSS0760,18,No,"Yes, in ear. AirPods",13-15,English,Some of the options were an octave higher or lower than the test melody.,,,SONA for course credit,,Yes,Male,,3,2-3,"Yes, I do alright",Saxophone,Strongly Agree,Disagree,I would look for pitch differences in the beginning and end primarily.,2021-03-24 17:58:59,40717
668,SSS0761,21,No,over-the-ear,5-11,Other (please specify below):,,,,SONA for course credit,Chinese,No,Male,,2,4-5,"Yes, but not so well",eletronic piano,Agree,Agree,No,2021-04-12 07:25:25,40973
669,SSS0763,54,No,headphones in ear,,Other (please specify below):,some tones sounded lower or higher. ,,,Other,hebrew,Yes,Male,,0,0,No,,Strongly Agree,Neither Agree nor Disagree,"compare original and options and look for tones that are ""off""",2020-11-17 23:21:04,filler2
670,SSS0778,20,No,in-ear,7-15,Other (please specify below):,Different tone,,,SONA for course credit,,Yes,Male,,4,6-8,"Yes, I do alright",Piano,Strongly Agree,Strongly Agree,,2021-04-12 11:03:26,40841
671,SSS0783,19,No,in ear,10,Spanish,,,,SONA for course credit,,No,Male,,7,4-5,"Yes, but not so well",Drums,Agree,Disagree,,2021-03-24 17:28:41,40438
672,SSS0788,20,No,,,English,,,,SONA for course credit,,No,Female,,0,0,No,,Agree,Neither Agree nor Disagree,,2021-03-24 19:53:48,40630
673,SSS0795,19,No,in ear headphones,13-15,Other (please specify below):,In some of the music there are always some note off the tone,,,SONA for course credit,Chinese,Yes,Male,,4,2-3,"Yes, but not so well",Guitar,Agree,Neither Agree nor Disagree,"the tone, the note.",2021-04-12 11:34:22,40758
674,SSS0797,20,Yes,in ear earpods,"5-8, 14-18",English,,,,SONA for course credit,,No,Female,"sixth, rather than trying to memorize the tone of each note, I'd just listen to the entire test and option choices throughout then by ear, made a selection",2,4-5,"Yes, but not so well","piano, cello",Strongly Agree,Agree,higher/lower pitches,2021-03-24 23:48:05,38564
675,SSS0803,20,No,over the ear,9-12,English,,,,SONA for course credit,,No,Other,,6,2-3,"Yes, but not so well",I played violin when I was younger,Strongly Agree,Neither Agree nor Disagree,I would pay attention to the tones that were less loud because they were the hardest to recognize,2021-03-24 21:27:20,40443
676,SSS0805,20,No,airpods,,English,,,,SONA for course credit,,No,Female,,0,0,,,Agree,Neither Agree nor Disagree,,2021-03-27 01:02:20,40468
677,SSS0809,21,Yes,"over-the-ear headphones, beats solo3",12-15,Other (please specify below):,"sometimes, a note felt like it was swapped with another or a little flat/sharp than the original",,,SONA for course credit,Japanese & English (both),Yes,Male,block 4,7,4-5,"Yes, I do alright","drums, guitar, piano, violin",Strongly Agree,Agree,I found myself breaking the melody in half (start vs end) in my head.,2021-04-12 14:59:40,36501
678,SSS0811,21,No,in-ear,6-9,Other (please specify below):,additional notes during the test trial,,,SONA for course credit,Mandarin,Yes,Female,,5,2-3,"Yes, but not so well",piano,Strongly Agree,Neither Agree nor Disagree,scale and repetition,2021-03-26 11:58:43,41072
679,SSS0813,19,No,over ear heaphones sony,,Other (please specify below):,,,,SONA for course credit,Vietnamese,No,Male,,1,0,No,,Agree,Neither Agree nor Disagree,listening for similar tones,2021-03-25 04:23:16,40906
680,SSS0814,19,Yes,I used over the ear headphones.,10-18,English,Sometimes the notes were rearranged to make the melody sound similar,,,SONA for course credit,,Yes,Female,After the first block I looked for patterns in the melodies and listened for notes that were out of place,9,6-8,"Yes, I do alright",Cello,Strongly Agree,Disagree,"Increasing or decreasing scales, listened for notes that seemed too sharp or flat for that scale",2021-04-12 21:58:01,40740
681,SSS0816,21,No,,,Other (please specify below):,,,,SONA for course credit,Mandarin,No,Female,,1,0,No,,Agree,Strongly Agree,,2021-04-13 06:55:11,40511
682,SSS0818,18,No,in ear,6-10,Other (please specify below):,,,,SONA for course credit,chinese,No,Female,,3,2-3,No,,Strongly Agree,Agree,NO,2021-04-13 07:56:52,41121
683,SSS0820,20,No,speaker,3-12,Other (please specify below):,,,,SONA for course credit,Mandarin,No,Female,,4,9+,"Yes, I do alright",piano,Neither Agree nor Disagree,Neither Agree nor Disagree,,2021-04-13 08:49:17,40869
684,SSS0821,22,No,I was using in-ear wired earphones,,English,I based it on the general pattern of changes between higher and lower notes,,,SONA for course credit,,Yes,Male,,0,0,No,,Strongly Agree,Strongly Agree,,2021-04-13 11:43:47,40901
685,SSS0822,20,Yes,in-ear apple headphones,10-14,English,If there was a high pitch in the original and absent in an option it stood out more,,,SONA for course credit,,Yes,Male,Some options cut off the endings of the melody and was more abrupt (possibly block 3),6,4-5,"Yes, but not so well",Guitar,Strongly Agree,Disagree,pitch and rhythm,2021-04-13 17:57:51,40912
686,SSS0825,20,No,"Headphones, in ear",8-12,English,,,,SONA for course credit,,No,Female,,4,2-3,"Yes, I do alright",Violin,Agree,Agree,Listening to differences in notes.,2021-04-13 23:52:00,40687
687,SSS0826,19,No,Noise-cancelling headphones.,18,English,Whether the pitch of a certain note was high or low.,,,SONA for course credit,,Yes,Female,,4,0,"Yes, but not so well",Drums,Strongly Agree,Strongly Disagree,Counting beats,2021-03-25 13:26:32,40738
688,SSS0828,18,No,in-ear heahpones,16,Spanish,,,,SONA for course credit,,No,Female,,9,2-3,"Yes, but not so well",Guitar,Strongly Agree,Disagree,hearing the tempo,2021-03-25 15:01:36,40848
689,SSS0829,18,Yes,"over-the-ear bluetooth headphones, beats wireless",6-9,English,,,,SONA for course credit,,No,Female,"grouping beginning, middle, end sections around start of 4th block",3,2-3,"Yes, I do alright","piano, ukulele",Strongly Agree,Strongly Agree,judged if notes stood out and grouping parts of sections,2021-03-25 18:20:41,40781
690,SSS0830,19,No,Apple Earpods (in-ear),,English,,,,SONA for course credit,,No,Female,,1,0,No,,Agree,Strongly Agree,trying to count how long or repeating the melodies as they go ,2021-04-14 00:33:54,39449
691,SSS0831,18,No,in-ear,16,English,,,,SONA for course credit,,No,Female,,5,1,"Yes, but not so well",Flute,Strongly Agree,Agree,,2021-03-25 22:46:18,40626
692,SSS0833,18,No,In-ear headphones,,English,,,,SONA for course credit,,No,Male,,2,0,No,,Strongly Agree,Disagree,Listening to the rhythm,2021-04-14 01:02:49,40437
693,SSS0835,21,No,,0,Other (please specify below):,,,,SONA for course credit,chinese,No,Male,,1,0,No,0,Neither Agree nor Disagree,Agree,no,2021-03-26 05:16:21,40829
694,SSS0836,19,,in-ear headphones,,English,,,,SONA for course credit,,,Female,,3,0,No,,Strongly Agree,Neither Agree nor Disagree,,2021-04-14 11:45:37,40997
695,SSS0837,23,Yes,CIEM (Custom In-Ear Monitors): JH Audio JH-13V2 Pro ,14-17,Other (please specify below):,There were notes that felt out of place and those were what I tried to focus on. ,,,SONA for course credit,Korean,Yes,Male,"As I progressed farther into the study, I realized those 'out of place' notes are not only in one particular option. I, therefore, tried to see which one I heard it as most different between the two options from sample sequence. ",3,2-3,"Yes, but not so well",Clarinet ,Strongly Agree,Strongly Agree,There was no way for me to memorize the sequence of melody nor to distinguish specific parts that sounded different. I relied on my 'hunch' or intuition to discern different melody sequence. ,2021-04-14 03:36:13,41126
696,SSS0838,22,No,In ear headphone,21,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,1,1,"Yes, but not so well",guitar,Strongly Agree,Strongly Agree,No strategy,2021-03-26 09:32:32,36659
697,SSS0839,18,No,"In-ear, Apple Airpod Pros",,English,,,,SONA for course credit,,No,Male,,2,0,No,,Strongly Agree,Disagree,"When there was a sound that did not feel correct, A sound where i didnt hear it before.",2021-03-26 12:25:47,41021
698,SSS0840,21,No,in-ear,12,Other (please specify below):,Sometimes the key are not the same and sometimes the length are not right,,,SONA for course credit,Mandarin,Yes,Female,,7,2-3,"Yes, I do alright","guitar, piano",Neither Agree nor Disagree,Agree,if they are the same length,2021-04-14 08:46:09,40955
699,SSS0841,18,No,,11-14,English,,,,Other,,No,Female,,8,4-5,"Yes, but not so well",gutar,Strongly Agree,Strongly Disagree,,2021-03-26 13:37:03,40561
700,SSS0842,20,No,"Headphones (in-ear, Panasonic)",17,Other (please specify below):,I tried to based my discrimination on the varying level of pitch,,,SONA for course credit,Vietnamese,Yes,Female,,2,1,"Yes, I do alright",Orchestra Bells,Strongly Agree,Agree,"I try to see if the notes of each melody are transitioning from low to high register, or if there is any shift at all",2021-03-26 19:42:17,37344
701,SSS0845,18,No,Bluetooth earphones,10,English,,,,SONA for course credit,,No,Male,,1,2-3,"Yes, but not so well",Violin,Strongly Agree,Agree,,2021-04-14 12:21:18,40611
702,SSS0847,19,No,over ear headphones,9-14,English,,,,SONA for course credit,,No,Male,,9,2-3,"Yes, I am near professional","Guitar, Bass, Piano",Agree,Strongly Agree,i did not,2021-04-29 23:31:28,40994
703,SSS0848,19,Yes,"In-ear headphones, Apple Airpods",,English,,,,SONA for course credit,,No,Female,Around midway I tried to memorize the melodies in the middle because it seemed like all three started and ended in exactly the same way.,5,0,"Yes, but not so well",Piano,Strongly Agree,Strongly Agree,I tried to remember the timing of when the pitched went high and went low. ,2021-03-26 22:05:41,40914
704,SSS0849,19,No,over-the-ear,15-19,Spanish,"I tend to notice differences when new notes not present in the original were added (for instance, Chromatic notes)",,,SONA for course credit,,Yes,Male,,9,4-5,"Yes, I do alright","Viola, Marimba",Strongly Agree,Strongly Disagree,I tend to judge a melody as similar if they had the same notes present with no melodic additions or major rhythm changes,2021-03-26 23:33:09,40547
705,SSS0850,19,Yes,air pod pros,5-17,English,"Beginning and end of melodies were generally the same, difference was one dissonant note.",,,SONA for course credit,,Yes,Female,difference was more obvious in the last block,7,9+,"Yes, I do alright",piano,Strongly Agree,Strongly Agree,dissonant note,2021-04-29 23:06:52,41173
706,SSS0851,20,No,Speakers,,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,0,0,No,,Strongly Disagree,Strongly Disagree,,2021-04-30 03:18:10,41179
707,SSS0852,18,No,,,Other (please specify below):,,,,SONA for course credit,Cantonese ,No,Male,,0,0,No,,Strongly Disagree,Strongly Agree,,2021-04-04 13:32:29,40621
708,SSS0853,18,No,Listened through headphones,8-13,English,I based the similarities on the tones sometimes.,,,SONA for course credit,,Yes,Male,,5,6-8,"Yes, I do alright",Violin,Agree,Neither Agree nor Disagree,Listened to the tones and any relative patterns,2021-03-27 13:42:24,41017
709,SSS0854,20,No,earphone,11-13,English,,,,SONA for course credit,,No,Female,,7,2-3,"Yes, but not so well",piano,Strongly Agree,Strongly Agree,no,2021-04-30 17:38:55,40417
710,SSS0855,18,No,in-ear,14-16,English,I feel like some of the options would be longer than the original or include more octave changes. ,,,SONA for course credit,,Yes,Female,,5,2-3,"Yes, but not so well",Clarinet,Agree,Strongly Agree,I listened for any odd note placements that would not usually be in a smooth melody.,2021-03-27 15:31:23,40507
711,SSS0856,18,No,Over the ear headphones (noise-cancelling),10-11,Other (please specify below):,"Number of notes, minor vs major keys",,,SONA for course credit,Chinese,Yes,Other,,5,2-3,"Yes, but not so well","Piano, violin",Strongly Agree,Disagree,"Number of notes, minor vs major keys",2021-03-27 18:23:13,40542
